variant,kind,aibl_n,aibl_acc,aibl_bacc,aibl_auc,aibl_ad_vs_cn_auc,aibl_recall_CN,aibl_recall_MCI,aibl_recall_AD,aibl_ad_to_cn_errors,ixi_cn_retention,ixi_false_impairment,oasis_bacc_stress,aibl_ece,aibl_brier,aibl_nll,notes,source,temperature
random_0417,risk_candidate,216,0.2361111111111111,0.5477954144620811,0.8922648996312721,0.9980759980759981,0.0,0.8285714285714286,0.8148148148148148,0,0.0,1.0,0.3333333333333333,0.36712391913498577,0.8325894592213156,1.3797111914006026,Random candidate from RC-SPE pooling family.,random_pool,1.9958553327631543
random_0418,risk_candidate,216,0.7592592592592593,0.46414943081609755,0.9418520129187667,0.9908609908609909,0.9935064935064936,0.02857142857142857,0.37037037037037035,16,1.0,0.0,0.3333333333333333,0.15319587689984204,0.33952323492948155,0.5713628577330103,Random candidate from RC-SPE pooling family.,random_pool,0.6760698613355809
random_0419,risk_candidate,216,0.7777777777777778,0.5152477152477152,0.9480576830776285,0.9906204906204906,0.987012987012987,0.11428571428571428,0.4444444444444444,13,1.0,0.0,0.3333333333333333,0.11262677803668349,0.2529260203709876,0.4222791073810716,Random candidate from RC-SPE pooling family.,random_pool,0.7543723799529956
random_0420,risk_candidate,216,0.8009259259259259,0.5725509058842392,0.9320245322003333,0.9790764790764791,0.961038961038961,0.5714285714285714,0.18518518518518517,9,0.9913941480206541,0.008605851979345935,0.3670368205727645,0.17518050582340722,0.30336491148122174,0.5578827266888978,Random candidate from RC-SPE pooling family.,random_pool,1.1068010755391986
random_0421,risk_candidate,216,0.7777777777777778,0.510710277376944,0.9490915107926226,0.9949494949494949,0.9935064935064936,0.05714285714285714,0.48148148148148145,13,1.0,0.0,0.3333333333333333,0.12348343279951869,0.2897049789390091,0.4824616165996185,Random candidate from RC-SPE pooling family.,random_pool,0.5728563826718678
random_0422,risk_candidate,216,0.9166666666666666,0.8456148789482123,0.9456048975937158,1.0,0.9675324675324676,0.8285714285714286,0.7407407407407407,0,1.0,0.0,0.3333333333333333,0.30712336424483294,0.2903732006292675,0.5531798223643934,Random candidate from RC-SPE pooling family.,random_pool,1.4854427257477227
random_0423,risk_candidate,216,0.8148148148148148,0.6224787558120891,0.9534665622253714,0.9978354978354979,0.987012987012987,0.02857142857142857,0.8518518518518519,3,1.0,0.0,0.3333333333333333,0.08700940538597016,0.23106369003778973,0.40495012004070285,Random candidate from RC-SPE pooling family.,random_pool,0.7661481336992039
random_0424,risk_candidate,216,0.8194444444444444,0.6172839506172839,0.9446361894260752,0.9997594997594997,1.0,0.0,0.8518518518518519,4,1.0,0.0,0.3333333333333333,0.0966193839367154,0.231420100379268,0.43496362032717595,Random candidate from RC-SPE pooling family.,random_pool,0.7715433969153682
random_0425,risk_candidate,216,0.8888888888888888,0.8190155523488857,0.9287008080393427,1.0,0.948051948051948,0.6571428571428571,0.8518518518518519,0,1.0,0.0,0.3970387687512176,0.3933675575789711,0.4371003359059838,0.7670980489969397,Random candidate from RC-SPE pooling family.,random_pool,1.66579826471675
random_0426,risk_candidate,216,0.7638888888888888,0.4935385602052269,0.9081743460062283,0.9718614718614719,0.961038961038961,0.37142857142857144,0.14814814814814814,13,0.9793459552495697,0.02065404475043031,0.3613871030586402,0.18500900888997504,0.35908567831837507,0.6477745039444639,Random candidate from RC-SPE pooling family.,random_pool,1.4099182445222531
